App Name,Creator,Genre,Rate,Number of Reviews,Price,Additional Info,Spider Depth Level
Clash of Clans,Supercell,Strategy,4.5,"1,339,043",Install,"April 15, 2021,174M,500,000,000+,14.0.6,4.4 and up,Users Interact, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",0
Stickman Master: League Of Shadow - Ninja Fight,Unimob,Action,3.3,63,€0.59 Buy,"Eligible if bought after 7/2/2016.
,April 8, 2021,103M,1,000,000+,1.7.7,5.0 and up,In-Game Purchases,€0.89 - €94.99 per item,Google Commerce Ltd",0
Mobile Legends: Bang Bang,Moonton,Action,4.1,"105,357",Install,"April 15, 2021,106M,100,000,000+,1.5.70.6241,4.1 and up,Users Interact, Digital Purchases,€0.99 - €109.99 per item,Google Commerce Ltd",1
Shadow Fight 2,Nekki - Action and Fighting Games,Action,4.5,"233,217",Install,"April 20, 2021,141M,100,000,000+,2.12.0,4.4 and up,Users Interact, Digital Purchases,€0.50 - €49.99 per item,Google Commerce Ltd",1
8 Ball Pool,Miniclip.com,Sports,4.3,"236,951",Install,"April 13, 2021,67M,500,000,000+,5.3.1,4.4 and up,Users Interact, In-Game Purchases,€0.79 - €109.99 per item,Google Commerce Ltd",1
Clash Royale,Supercell,Strategy,3.9,"811,758",Install,"March 26, 2021,133M,100,000,000+,3.5.0,4.1 and up,Users Interact, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",1
Hay Day,Supercell,Casual,4.3,"472,581",Install,"April 13, 2021,144M,100,000,000+,1.50.122,4.1 and up,Users Interact, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",1
Brawl Stars,Supercell,Action,4.2,"491,544",Install,"April 20, 2021,147M,100,000,000+,35.139,4.3 and up,Users Interact, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",1
Shadow Knight Premium: Ninja Legends - Fight Now!,Fansipan Limited,Action,3.9,91,€0.59 Buy,"Eligible if bought after 7/2/2016.
,April 20, 2021,178M,500,000+,1.2.26,5.0 and up,In-Game Purchases,€1.66 - €94.99 per item,Google Commerce Ltd",1
Shadow Knight: Ninja Assassin Epic Fighting Games,Fansipan Limited,Action,4.2,612,Install,"April 20, 2021,178M,1,000,000+,1.2.26,5.0 and up,In-Game Purchases,€1.66 - €94.99 per item,Google Commerce Ltd",1
Demon Warrior Premium - Stickman Shadow Action RPG,Unimob,Action,4.1,51,€0.59 Buy,"Eligible if bought after 7/2/2016.
,July 15, 2019,73M,100,000+,6.2,4.2 and up,In-Game Purchases,€0.89 - €79.99 per item,Google Commerce Ltd",1
Stickman Legends: Shadow War Offline Fighting Game,ZITGA,Action,4.0,"3,353",€0.99 Buy,"Eligible if bought after 7/2/2016.
,March 31, 2021,113M,10,000,000+,2.4.82,5.0 and up,In-Game Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",1
Stickman Master: League Of Shadow - Ninja Legends,Unimob,Action,3.8,41,Install,"April 15, 2021,103M,1,000,000+,1.7.8,5.0 and up,In-Game Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",1
FRAG Pro Shooter,Oh BiBi,Action,4.2,"14,887",Install,"April 20, 2021,Varies with device,50,000,000+,1.8.1,5.0 and up,Users Interact, Digital Purchases,€0.59 - €109.99 per item,Google Commerce Ltd",2
NARUTO X BORUTO NINJA VOLTAGE,BANDAI NAMCO Entertainment Inc.,Action,4.4,"10,861",Install,"April 16, 2021,82M,10,000,000+,8.1.0,4.4 and up,Users Interact, Digital Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",2
Shadow Fight 3 - RPG fighting game,Nekki - Action and Fighting Games,Role Playing,4.3,"38,440",Install,"March 25, 2021,115M,100,000,000+,1.24.1,4.4 and up,Digital Purchases,€0.99 - €214.99 per item,Google Commerce Ltd",2
Shadow Fight Arena — PvP Fighting game,Nekki - Action and Fighting Games,Role Playing,4.5,"3,751",Install,"March 26, 2021,101M,1,000,000+,1.1.0,5.0 and up,In-Game Purchases,€0.89 - €99.99 per item,Google Commerce Ltd",2
Stick War: Legacy,Max Games Studios,Strategy,4.4,"27,115",Install,"February 23, 2021,102M,100,000,000+,2021.1.4,4.1 and up,Digital Purchases,€2.49 - €109.99 per item,Google Commerce Ltd",2
Ninja Arashi 2,Black Panther,Adventure,4.6,694,Install,"January 11, 2021,127M,5,000,000+,1.2,5.1 and up,In-Game Purchases,€0.99 - €9.49 per item,Google Commerce Ltd",2
Zombie Catchers - love the hunt!,Deca Games,Action,4.3,"23,383",Install,"April 1, 2021,67M,100,000,000+,1.30.12,4.4 and up,In-Game Purchases,€0.99 - €49.99 per item,Google Commerce Ltd",2
Family Island™ - Farm game adventure,Melsoft Games Ltd,Casual,4.2,"17,305",Install,"April 20, 2021,83M,10,000,000+,2021070.0.11142,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €149.99 per item,Google Commerce Ltd",2
FarmVille 2: Country Escape,Zynga,Casual,4.2,"125,053",Install,"March 23, 2021,126M,50,000,000+,17.3.6691,4.4 and up,Users Interact, Digital Purchases,€0.59 - €104.99 per item,Google Commerce Ltd",2
